sentences,attribution,attrib_words
global warming is real and its devastated around the world we need to change our habit to be kind to environment,1,climate change
sorry this may sound gross or bad but can we use human waste i know it wont be as organic as the waste of a grass feed creature but if we are so many and are the problem,0,pollution
primary water is why we don’t have a water shortage,0,climate change
water is a renewable,0,government inaction
be very careful next time buying vegetables,0,urbanization
dont buy fruits and vegetables from india they shit in their farm lands and then cultivate them,0,religion
i think so tamilnadu will take place next yr like this,0,public water wastage
westbengal main no water cruises,0,overpopulation
everyone have to be conscious about water everyone should use limit please dont waste water,1,public water wastage
clean sewage and leave in drinking water lake do we have that much technology to clean sewage,0,desalination
stop all building work,1,urbanization
there is no more water,0,lack of awareness
this is not once in life time shortage,0,lack of infrastructure
this will stay for next 50 yrs till the population keeps growing,1,overpopulation
ppl must restore lakes not support apartments encroaching water bodies,1,loss of water bodies
not support apartments encroaching water bodies,1,urbanization
pakistanis don’t care anymore to india’s lies just let war begin,0,religion
10 kids there is your real problem we need population control one kid per family,1,overpopulation
first of all i want to thank you for not being racist like the other people in the comment section and actually thinking about solving the sanitation problem plauging india also i believe that india can easily afford proper water supply and toilets it is not at all a poor countryit has nuclear missiles and space program but it is quite a corrupt country with the highest rate of income inequality,1,corruption
i am an indian and i am really ashamed of this disgusting practice in which 500 million of my countrymen defecate in the open most are rural villagers as 55 indians still live in villages who are either too poor to have toilet or have a lifelong habit of defecating in the open,1,contamination
to change this practice of open defecation in india the government not only need to build toilet but also educate the villagers about the illeffects of open defecationfilthdiarrhea and fortunately the indian government and people are knowing about the bad effects of pooping in the openthanks to world media and that is the reason why the indian government has pouring money into building toilets and good sewage disposal system,1,lack of awareness
they have also launched a nationwide swacht bharat abhiyanclean india movement which is helping in providing poor people of india with toiletsclean drinking water and proper housing and i believe that my country will be free from open defecation in 10 yearsalthough cleaning of river will take decades,0,religion
finally if you dont mind than can you tell me that from which country you are from,0,agriculture
as you have said that you are from a country which provides clean water and toilets to even poorest people of your country and maybe after hearing about how the government in your country do this me and people from my country too can learn something from your country on how to provide all this things to even poor people,0,urbanization
muslim population growth is responsible,1,religion
best solution to save water is increase the number of lakes to increase ground level water,1,loss of water bodies
over a billion people drinking out of the same waterhole for decades are we sure its climate change or just over population,1,overpopulation
chennai once most flooded and now drought state,0,industrial development
government enough steps to store the water and dissolve it in sand to increase the ground level water,0,loss of water bodies
i agree u guys too got water scarcity as others do,0,government inaction
being educated and rich able to afford expensive apartment like this cnt u people do some rain water harvesting system why cnt u allow water to penitrate water in to soil need cemented road platforms for walking but destroying mother earth and not taking a single step to rain water saving just recyling of water wat u pay and buy,1,lack of harvesting
we only have 4 hrs of water supply but no biggie to our family because we store rain water whenever it rains saves a lot of water consumption and money,1,lack of harvesting
and we live in manila,0,industrial development
necessity is the mother of invention,0,climate change
the pond shown here at 209 is surrounded by a elevated wall only the rainwater falling into the pond will get stored and the rainfall on the rest of the land is just runoff really a stupid way to build a pond pond should be in the lowest elevation of the land with the highest barrier being the level of ground itself so that the water can be stored,1,lack of harvesting
no wonder that the pond is dry,0,lack of infrastructure
arnav shukla the answer to the question is short and simple,0,industrial development
no other country is in such a position like india is at the time,0,lack of infrastructure
in case of other countries they are either islamic pak uae or totally non islamic,0,loss of water bodies
usa china nepal india however is neither islamic nor non islamic entirely becz a reasonable amount of muslim population resides in india,0,industrial development
you cant choose between one,0,lack of infrastructure
this planet has only one sun one moon and one and only sadhguru,0,contamination
we bow down to sadhguru and all the isha volunteers,0,agriculture
yes but the entire world has problem with pakistan there is no comparison when it comes to goodness india has given to the world and evil which pakistan is giving to the world at exponential rate,0,desalination
besides al jazeera has an anti india policy for serving pakistani interest,0,religion
shame on al jazz era you are a totally biased news,0,urbanization
channel although you guys have hired best of the journalist and specially muslim journalists who were doing good in other contries your bias are totally visibly flooded,0,pollution
then theres the fact that people are hungry malnourished sick and even dying from hunger and yet there are all these freaking cows walking around everywhere and spreading their filth that could easily be used to feed all these desperate suffering people,0,lack of awareness
but the cows cant be killed because,0,agriculture
theyre holy or some nonsense like that,0,lack of infrastructure
clean up your filthy country,0,religion
start feeding and helping these poor suffering people,0,overpopulation
my god what sort of place accepts their own people living like this and on so great a scale,0,water withdrawals
sure there are always poor people in every city on earth,0,damming
but this is not like the poverty i see in chicago where even supposedly homeless people at least have clothing are often overweight sometimes have cell phones,0,corruption
and always have access to shelters where they can find a meal a shower and a cleandecent place to sleep,0,pollution
its not much but thats way more than those in india have,0,water withdrawals
india is poised to become a world power,0,strain on natural resources
they certainly have enough people,0,public water wastage
i bet they have the desire and ambition as well,0,strain on natural resources
but as long as people live this way as long as your country is known the world over for being this filthy and disgusting india will never reach its full potential,0,contamination
start changing your own country,0,lack of harvesting
no one can do it for you,0,industrial development
hey you fool tell the public that worlds 25 population also lives there tell them to have only two children and control the population,1,overpopulation
that you would not say coz than you will not be secular,0,lack of harvesting
thats would be one way to reduce the need of water and submersible pumps,0,natural calamities
your math is really weak,0,damming
shaurya joshi did you visit all the link sir,0,religion
he said that the climate is not changing rather we feel like that,0,overpopulation
music is match for story,0,corruption
yes we with you,0,lack of harvesting
please make video on rain water harvesting and desalination of sea water,0,overpopulation
very sad that you even didnt considered the odisha cyclone in dna which is the biggest in last 20 years,0,groundwater exploitation
a sadness from a great fan,0,religion
india is one of the desert countries whose lands are basically sand and silt sediments that settled out in the last stages of the flood 4350 years ago,0,contamination
as the flood waters drained back inside earths crust or formed the icy polar regions australia was left as a huge dry island,0,climate change
unfortunately without worms moisture and organic matter in the soil the drylands of india will never regenerate,0,groundwater exploitation
read a brief history of time 2 from amazon to understand,0,climate change
saudi arab is the country widely using desalinated water from the sea,0,damming
petyr baelish a point that i have tried to make is that the climate change that we are experiencing now no human alive has experienced it the global temperature will drop the jet streams will be erratic resulting in drastic climate changes around the world long droughts in some places flooding in others crop failure is bad this year and next year it is supposed to be worse this event which will last for more than three decades will be similar to the maunder grand solar minimum india was vulnerable and may be the first sign of hardship but it wont be the last,1,climate change
long droughts in some places flooding in others,1,natural calamities
5 most important n effective ways of saving water,0,religion
use shower for taking bath instead of bucket and mug,0,urbanization
i have tried it,0,groundwater exploitation
i used just 4 ltrs instead of 15ltrs,0,climate change
strictly avoid western toilet,0,religion
indian toilet takes just 2 to 4 lts for one flush and it will be cleaned,0,natural calamities
but this western toilet takes 10 to 15lts for one flush,0,loss of water bodies
and the most irritating part is even after full flush it wont be cleaned fully and again you ll have to flush it multiple times,0,lack of harvesting
imagine how much of water is consumed by this,0,agriculture
soak the clothes in soap water for 3 to 4hrs and use quick wash in washing machines instead of other modes,0,overpopulation
this will save nearly 40ltrs of water for every wash,0,industrial development
rain water harvesting increases the ground water level,0,climate change
i heard from ppl from mylapore anna nagar t nagar and many areas,0,urbanization
they say their ground water level increased and salt level decreased after they installed rwh in 8 years,0,natural calamities
use this treated water for flushing toilets and vehicle wash,0,lack of awareness
do you believe if i say singaporens drink the treated water from sewage,0,pollution
we dont have to take that risk for now as we dont have that much technology and quality control systems,0,loss of water bodies
so better use it for domestic purpose,0,public water wastage
please save water friends,0,corruption
if we do the above things in one day one person can save 60 ltrs approx,0,public water wastage
so for 2 cr ppl in chennai its like 120 cr ltr is saved for a day,0,climate change
6 billion ltrs for a month,0,damming
5 tmc of water,0,urbanization
"i see why they are building a space program
to shit on mars",0,damming
do u even know our earth is surrounded by water more thn 75,0,pollution
nd soon due to melting of glaciers it would be80,0,groundwater exploitation
for many yrs still ro system would be best,0,corruption
considering the amount of water on earth,0,deforestation
nd its not only the ro system they use,0,lack of harvesting
they have seperate desalination plants for normal use,0,lack of awareness
they dont use ro for every basic need like washing clothes dishes or bathing nd with time,0,strain on natural resources
have proper knowledge first dont be like a pappu or behaive like brainwashed cunt,0,corruption
more such technology would be developed thts why our pm visisted nd,0,religion
had a look at tht technology in israel,0,water withdrawals
coz they dont have glaciers or monsoons like india,0,deforestation
nd india is still surrounded by water on 64 of its boundary so using ro or any other purification system or other desalination process like israel would be feasible,0,strain on natural resources
for india for pruposes besides drinking,0,pollution
coz a human utilise 8090 water in bathing washing clothes utensiles,0,desalination
did they just state that india had an advanced and growing economy highly educated population and cutting edge technology,0,urbanization
92 million with no access to clean water,0,industrial development
according to a sign in the video 638 million defalcate outside daily,0,lack of harvesting
1 million children under 5 years of age die annually,0,contamination
more temples than toilets,0,groundwater exploitation
the population has doubled in only 40 years,0,lack of harvesting
seriously they need to stop procreating and spend some serious money on infrastructure,1,overpopulation
seriously they need to stop procreating and spend some serious money on infrastructure,1,lack of infrastructure
global warming is getting really bad,1,climate change
mgr always mgr nobody like mgr real hero and good leader good actor good man god chosen chef minister in tamil,0,desalination
india will suffer alot in future due to water crisis,0,natural calamities
we must take tough decisions to cure this problem,0,strain on natural resources
in april i went to my village in bihar and i saw a lot of water tankers that i have never seen before,0,natural calamities
also my relatives have installed water pumping motor for extraction of water because hand pumps are no more capable of pumping water,0,industrial development
as previous dam cut providing illegal water to punjab,0,deforestation
we can build many others dam in different provinces,0,public water wastage
dua karein establishment koi achha kaam kar de,0,loss of water bodies
or ye kb dam ka issue khtam karien,0,industrial development
india should dump nuclear waste from its power plants in rivers entering pakistan ,0,overpopulation
i admire this documentary,0,water withdrawals
well the main point is population population with more than a billion if 1 have no toilet its actually huge,1,overpopulation
documentary can be related,0,lack of infrastructure
besides this theres also lot of problem including the most is the mindset towards cast system,0,public water wastage
every cast in india has its own thought,0,strain on natural resources
they all are not believing each other,0,lack of harvesting
people should stop wasting water,1,public water wastage
make a video on rain water harvesting and how can we transform the existing structures to suite rain water harvesting,0,desalination
desalination of water is very expensive process and i dont think that govt,0,natural calamities
would actually take that big initiative,0,urbanization
water would be too expensive that the general public will not be able to afford,0,industrial development
one more thing govt should fine heavily on people doing wastage of water,1,public water wastage
lastly new technology should be introduced to develop huge infrastructure in the urban area which demands a huge amount of water i e,1,lack of infrastructure
thanks a lot aakash for this video about water crisis going to hit entire india within next 5 years meaning before next lok sabha election and 100 years of establishment of rss in nagpur,0,pollution
being one of iit alumni and having worked there too between 197585 i find a very primary reason of facing this crisis is the failure of the iits faculty which did not do its job of providing on ground water conservation solutions,1,government inaction
we know how corrupt our politiciansbureacracybusiness nexus has been since 1947,1,corruption
but these faculty members living in plush bungalows within the iit campuses subsidised by honest tax payers on india and who visited abroad either on sabbatical or to present research papers saw with their eyes and had full knowledge the way ground water conservation in town planning is being implemented in usa uk france germany russia japan canada australia etc,0,deforestation
it is these countries where the faculty visited multiple times and interacted with the water conservation strategists of developed nations,0,overpopulation
but did they do their jobs on return to iits where they had gone on,0,water withdrawals
all of these faculty members were more interested in ensuring their children son daughter in laws get settled in the developed countries rather work for india and its water conservation needs,0,water withdrawals
and the last word all these faculty members without fail have been only from upper castes,0,religion
i am eager to correct myself if i have given any wrong information here,0,human activity
bihar nd up r both fucked up states,0,loss of water bodies
but there r many states in india which has proper water management nd sewage treatment infrastructures,0,lack of harvesting
al zazira and rather all islamic news channels are funded by terrorists,0,groundwater exploitation
u guys fight each other and kills each other in syria yamen iraq and afhganistan,0,damming
u are ur own enemy,0,loss of water bodies
india will keep on prospering,0,human activity
1000 years u cld not do anything,0,human activity
i know this documentary is terrible and these are one of the biggest problems indians are facing right now but as people in the comment i can understand your wish to nuke india or calling its people filthy names but every country has its shortcomings and as far as india is concerned they wont be here to read the comments or rather they wont care about what others think or what issues we are having,0,desalination
india is like 2 nations in itself one thats dreaming of becoming superpower and other dying due to lack of basic sanitation,0,lack of harvesting
when you have the population if 1,0,strain on natural resources
2 billion value of human life diminishes drastically and thats the reason why indians have no mentality like western nations where they have concern for basic amenities and sanitation,0,lack of harvesting
we are used to death and disease,0,industrial development
even after 50 years from now,0,public water wastage
probably you will see the similar documentary and yet few people giving literal shit about it,0,human activity
yes sir ruural areas in maharastra are already facing this prob,0,corruption
its the 2nd rain we enjoyed today,0,damming
rain water harvesting is the only way out,1,lack of harvesting
and also every one should plan to reuse waste water through treatment for toilet flushing,1,public water wastage
terroristanies spreading terror even by words here,0,strain on natural resources
ive done my minor project on grey water recycle system,0,contamination
the ganges is a spiritual being according to the religion so it must be protected,0,government inaction
so i see the trash along the sides i see there is no septic systems,0,overpopulation
use the ground to filter the waste,0,lack of infrastructure
i n africa the poo runs a generator,0,desalination
please develop e the way,0,lack of infrastructure
all was worked out in ancient times we have de evolved,0,loss of water bodies
conserving water and distributing the rainwater to drought proved areas could help at least to drink some milliliters of water,1,lack of harvesting
dharmil doshi yo kid in a nutshell most of the water supplied to us is mainly sourced from dams so if we waste less water then overall water is saved or unused water remains in those reservoirs,1,public water wastage
government aur railway station,0,natural calamities
dada khub valo laglo video ta,0,corruption
same problem amader west bengal a,0,deforestation
ekhankar lokeder water nie kono serious ness nai,0,industrial development
sarpanch bai india is a complete shit hole,0,government inaction
accept it and change or dont either lol way your country is disgusting,0,urbanization
not all of india but most of it,0,urbanization
if there is no clean water then why we blame government every years main problem is we have water but polluted by our wastewater water pollution is indias new problem after plastic,1,pollution
ham apni nayi pidhi ko kiya dene jaa rahe hain sachlo,0,human activity
yep bro i am shocked and painful,0,lack of awareness
70 water totaly waste of r o,1,public water wastage
nobody use this water,0,overpopulation
if you people really care about water then dont watch the world cup and dont go to the stadium,0,strain on natural resources
you people are criticizing the government when youre only in trouble but you people dont care about hydrocarbon kudankulam nuclear waste disposal gail project because thats not our problem that is farmers problem shame on us,1,human activity
water scarcity water wars water market and total indifference of politicians,1,government inaction
water management is the reason for water problem,1,public water wastage
both country have good glacier,0,corruption
im indian in our language hima means cool place with snow alaya means where is where it exists place ,0,lack of harvesting
they caused their own problems should of thought of that before you start fucking with nature go cry me a river wait you guys fucked your river up too you’re now fucked by nature,1,human activity
it is a very so sad where the large amount of water is present this state is present near the sea then why why the crisis of water has been done all government has a very e important technology it can be used and to make a water for thinking to decrease the salination like a israel country if you to use this method this technology it is a very useful for us not only tamil i do if this type of classes has been done in any country then we can we solve it and we have never served this type of problem thank you have a wonderful day,0,desalination
just save water n less water youll have more than enough water,1,public water wastage
never misuse water always save water,1,public water wastage
prohibit dumping and shut down all factories along the rivers,1,contamination
treat all sewage and drinking water,0,damming
engineer special bacteria to detoxify the river,1,contamination
use gene drives to eradicate pests and build thorium reactors for power,0,loss of water bodies
then one child policy and mandatory education all the way to middle school,1,overpopulation
topic desalination ro water revive dear dhruv rathee my tabrez ahmad and i am from gaya bihar where water crisis is major part in bihar state i like the way of your suggestions for how to save water because of environment problem i have a idea to save water from ro machines from outlet to welllakes and rivers we can send water to well easily from ro from very small size of size pipe to underground so i will be make a full project easily to receive water from membrane outlets from thousands of houses,0,damming
do you think every single person in india squat on a roadside and takes a dump,0,industrial development
thats equivalent to saying most american live in motels and smoke meth,0,government inaction
it is not a water shortage it is over population,1,overpopulation
please bring back joicy joy,0,pollution
she makes lots of videos in a day with beautiful explanation,0,pollution
all i can do is roll my eyes,0,lack of infrastructure
flint public places like colleges would put entirely new water fountain filtration systems in and claim it would make the water clean,0,desalination
somehow i dont know if it would even help those kids in the long run,0,water withdrawals
always the short term solutions,0,water withdrawals
in all your videos enforce the government to convert sea water to drinking water and send it on corporation water pipes 24x7 i saw lot of on sea,0,corruption
tn how these much mp won frm dmk,0,natural calamities
o v o india has many rivers that can support a huge population,0,strain on natural resources
few countries dont have the resources necessary,0,groundwater exploitation
but now the situation seems to change,0,corruption
jewslikefunk yeah were such a minority though,0,desalination
so many indians are brainwashed with propaganda from news channels in india its actually unbelievable,0,natural calamities
they see everything in right in front of them and yet pretend like it doesnt exist,0,agriculture
sad state of affairs,0,lack of harvesting
stop sugar cane farming start organic and old fashioned farming,1,agriculture
amir khan is doing very good job in maharashtra,0,public water wastage
monsoon water saving is imp,1,lack of harvesting
charlene hughespeseta the government also needs to use money for modern sewer systems water purification plants etc,1,government inaction
charlene hughespeseta the government also needs to use money for modern sewer systems water purification plants etc,1,lack of infrastructure
water water everywhere not a single drop to drink,0,lack of awareness
coastline cities like mumbai and chennai is going to sink under water after sea rise due to global warming while we fight for water,1,climate change
start planting trees maximum areas are dry and no trees are seen they have destroyed the forest area and now the time for them survive and plant more and more trees climate will change and surely good monsoon will come hope for good,1,deforestation
humancaused climate change a totally unproven theory that is propped up by junk and fraudulent science,0,agriculture
young people are indoctrinated by the education establishment,0,government inaction
any questioning is stifled if at all possible,0,lack of awareness
as an example httpsnotalotofpeopleknowthat,0,agriculture
com20180209peterriddscienceorsilencemybattletoquestiondoomsayersaboutthegreatbarrierreef help the poor africans,0,government inaction
allow them to have the benefits of abundant affordable clean energy from fossil fuels that we have,0,desalination
solar and wind create huge amounts of hazardous environmental junk and dont even produce power worth the cost that goes into them must rely on major government subsidy,0,overpopulation
coke pepsi uses lot more water from ground,1,industrial development
where there is no water population control is the only way,1,overpopulation
pls make video on rain water harvesting in houses and use of oceans salty water and bro u should not only make videos but also keep asking government on these critical issues,1,lack of harvesting
aditya aswal your last sentence ruins any argument you had because it makes you a hypocrite saying our cops go around shooting people,0,urbanization
you must be brain washed by your media sources,0,government inaction
all my media sources are coming from indians directly or reading media not based in the us,0,corruption
i know our media is fucked up,0,groundwater exploitation
then again all media is biased but i watch documentaries,0,overpopulation
i see the interviews with the people being raped the police officers etc,0,human activity
i dont watch any american media documentaries,0,loss of water bodies
youre going to sit there and deny your fucked up caste system with dalits or untouchables,0,groundwater exploitation
there is an uprising going on right now with dalits converting to buddhism in hopes their children will be able to get jobs,0,overpopulation
not pick up peoples shit or dig through garbage,0,climate change
heres an example go to every land fill in the us and you wont see one person and any trash dump,0,lack of awareness
i bet i would see whole communities at every trash dump in india,1,contamination
i dont even know why im arguing with you,0,religion
sure america isnt perfect but comparing india to america is apples and oranges,0,public water wastage
india is so ass backwards and behind there is nothing to compare,0,human activity
you know how many indian cops kill or rape people,0,religion
yeah neither do i because its not reported,0,climate change
you are fucking retarded,0,corruption
unfortunate situation which is only getting worse by the day,0,human activity
i talk to people about the crisis they are facing but most of my data comes from people who have resources to buy their time,0,overpopulation
the awareness has to reach the common masses who can then press their government representatives,0,lack of infrastructure
water harvesting projects on a mega scale should be prioritized ahead of statues and bullet trains and it doesnt need a rocket scientist to understand this,1,lack of harvesting
water harvesting projects on a mega scale should be prioritized ahead of statues and bullet trains and it doesnt need a rocket scientist to understand this,1,government inaction
just hope that we dont have to wait for the crisis to get out of hand before taking measures,0,religion
could you invite the environmentalist you quoted on your show and shed more light on the measures he has suggested along with the burden of those on the tax payer,0,agriculture
when we compare these numbers to the potential gdp loss it might help clear the picture for everyone and make a more compelling case,0,urbanization
anyway thats just a hope,0,lack of awareness
another step to reduce water wastage is to put a waterfilled plastic bottle in the tanks of toilets the bottle takes up space and fills less water in the tank and flushes less water with every flush,1,public water wastage
due to this day zero crisis in chennai there are so many comments recalling seemans warning and criticizing him till date,0,government inaction
if one look at the core point of what seemans intention and his views towards the future generation then the truth will be realized,0,lack of harvesting
in all these years no one cared about the importance of respecting nature and synchronizing our lifestyle along with nature the current issue may not prolong for a long time let us hope but this is the right juncture to concede what must be done hereafter in all sense right from understanding politics individuals responsibility and rights to self realization respecting and preserving nature categorizing the priorities awareness about safeguarding mother nature right from the cradle,1,strain on natural resources
the current issue may not prolong for a long time let us hope but this is the right juncture to concede what must be done hereafter in all sense right from understanding politics individuals responsibility and rights to self realization respecting and preserving nature categorizing the priorities awareness about safeguarding mother nature right from the cradle,1,lack of awareness
we can not tire or give up,0,pollution
we owe it to the present and future generation of all species to rise up and walk wangari maththais quote,0,lack of harvesting
seemans efforts will not guarantee for river of milk and honey to run in thamizh naadu,0,agriculture
roy oetting i think global warming and the grand solar minimum are battling it out i think the global warming is going to win though,1,climate change
we will have to agree to disagree,0,human activity
ram pumps using water flow to self pump water up to earthen bag and mesh water towers reenforced with bamboo and inner lined,0,corruption
from water tower use drip irrigation system to grow vegetables even in dry spring,1,agriculture
also look up permaculture ideas for local area,0,human activity
if higher altitude farms look up dew harvesting to water tanks and gravity fed irrigation,1,lack of harvesting
many projects are already running in nepal as trials they just need to spread let farmers and youth see benefits,0,government inaction
desalination is a good idea but transporting that potable water from coastal areas to central part is a big challenge,1,lack of infrastructure
would like a video on it,0,agriculture
i don’t donate money because i earn less than these people do,0,damming
they also didn’t cause the problem themselves,0,loss of water bodies
you need agriculture to sustain yourself,0,overpopulation
why are you justifying this,0,agriculture
brainwashed arrogant and immoral,0,lack of infrastructure
zeli ang actually they should be building water catchment area and cleaning recycled water instead as desalination plants the current ones they have is for industrial use and not portable water are expensive and still not very effective and catching rain water and cleaning recycled water is cheaper,1,lack of infrastructure
indians dont respect and maintain what they have,1,public water wastage
when they lost it they just regret it,0,lack of harvesting
india is a nation full impractical people 80 population of india dont care about anything they just indifferent about everything,1,lack of awareness
now they are going to pay for it,0,water withdrawals
welcome to the reality,0,corruption
i call it al gore syndrome,0,urbanization
you probably donate money to the ecoalarmist cults and think the world will end in 12 years,0,water withdrawals
there’s been many periods in earth’s history with far more carbon in the atmosphere,0,water withdrawals
while we need to be far more responsible climate change will occur regardless of what we do,0,urbanization
there’s many factors completely beyond our control,0,lack of infrastructure
such as solar energy tectonics volcanoes and natural changes to wind patterns and ocean currents,0,urbanization
as well the natural carbon cycle is contributing millions of tons of greenhouse gases,0,damming
i always like to remind people with al gore syndrome or those panicking about natural weather events or “records” and blaming them on climate change of mt,0,desalination
it’s cataclysmic eruption of millions of tons of ash co2 so2 and other gases in the early 90’s was attributed to major storms changing weather patterns and a global cooling of almost a full degree in the years following,0,damming
just one volcano was capable of impacting global weather and climate,0,industrial development
please don’t take my facts and logic personally,0,pollution
i have great sympathy for those of you with eco anxiety and al gore syndrome,0,climate change
the sky isn’t falling,0,human activity
the earth has been through far worse,0,water withdrawals
if they had planted trees with the money invested in cloud seeding atleast they would have attracted some clouds through trees why people forget its because of lack of trees we are having issues with water do we know that trees stores large amount of water at their roots to survive the whole year how do you thing the trees we see at the streets survive each big tree can be considered as a big tank however no tree can fight alone as well just like humans the more trees we have the more clouds we attract how trees have to release water through their leaves through evaporation to absorb co2 which is essential for them to live in forests when group of trees release this evaporated water they form smaller clouds now you know why u see clouds when climbing a mountain,1,deforestation
these smaller clouds slowly melts as rain,0,pollution
this process not only helps tree to have continuous water without depending on seasonal rainfalls,1,deforestation
however these smaller clouds are the said to attract bigger clouds from the sea and cause heavy rainfall,0,corruption
so th solutions exits in the nature itself but no we have to spend billions just to show we care for people and earth,0,strain on natural resources
and people like sunita narain have their asses on fire since the time modi government came to power,0,damming
these peopel just crib about the current situation because they dont get funds for their ngo,0,lack of awareness
which actually dont go to their ngos but as black money to themselves,0,water withdrawals
and their personal funds,0,strain on natural resources
and shashi tharooor is just an elitist power hungry asshole who wants to stay in power by keeping the poor as poor only,0,pollution
he does not give a fuck about these poor people,0,agriculture
just talking good in order to get votes,0,loss of water bodies
real development of india and real people who are concerned about the development and holistic improvement of india is narendra modi,0,lack of harvesting
under him just see how ahead india goes,0,damming
indian farmers must change their irrigation method to save water,1,agriculture
i am sad to see that my country is going to be doomed in few years,0,corruption
after almost 70 year of freedom from britain we are not free to live free to eat and free to express,0,desalination
soon it will be like syria and iraq,0,water withdrawals
desalination plants are the solution,1,desalination
we should take the help of israel,0,contamination
and only use drip irrigation systems for farming,1,agriculture
start saving water its not only the govt,1,public water wastage
start saving water its not only the govt responsibility its also the responsibility of the people of india,1,human activity
ravishbhai welcome to south but were worried  and anxious on this news may our  country overcome this issue,0,pollution
there are people of other states like chhattisgarh in industrial areas gevra coal one of the biggest coal mine in asia  to waist water each day in the name of washing their aangans and watering their plants with underground water as every  person here has personal  motor connection  pipes,1,public water wastage
dont you think its weird niti ayog is being too truthful,0,deforestation
is it trying to amp up the fear,0,government inaction
is someone hauling water,0,religion
i know its imagination flying and sounds like straight from a comic strip,0,overpopulation
but we are more dangerous than any comic strip projects,0,overpopulation
ryder og dude india’ fertility rate are still more than 2,0,lack of infrastructure
1 that means population are growing just rate of growth of population has been reduced,0,damming
according to current data and research it has been speculated that population of india will grow till 2060 after that it will start declining,0,loss of water bodies
i dont blame the people for the shortage and delayed monsoon im referring to the government,1,government inaction
india would be ok if they just stopped pumping out so many kids,1,overpopulation
please do clear analysis and talk,0,urbanization
if you compare southafrica which is a poor country,0,overpopulation
what is the status of desserts dubai or other regions,0,overpopulation
they do not have scarcity,0,government inaction
how that is managed,0,strain on natural resources
sea water desalination should be done properly,1,desalination
it is time to control the population,1,overpopulation
talk about purification of sea water to drinking water lt project,0,water withdrawals
michael worlds superbug is already invaded india,0,industrial development
and also here in india people foolishly consume anti biotics creating more superbugs,0,deforestation
almost 46 psu are gonna shut down or merged in next 85 days,0,water withdrawals
this is what niti aayog said on a press release last weak,0,climate change
fucking idiot blaming everything on past while your own government is creating havoc right now,0,loss of water bodies
but would this alternation gives you time to rebuild the banks of the rivers where you can build up akon street of concrete development around the sides,0,loss of water bodies
white people get clean water while the people that grow the food for them get sewer water,0,corruption
this is racism at its worst,0,strain on natural resources
no body cares if govt,0,religion
or any institution wants to reduce plastics they can ban shiny polythene,0,desalination
if they want to save water they may have made proper water harvesting,1,lack of harvesting
meanwhile pm of india is saying there is nothing like climate change ppl r getting old n becoming sensitive towards climate,0,loss of water bodies
govt is busy in disturbing communal harmony in india,0,natural calamities
well ppl r getting what they voted for,0,water withdrawals
india should spend some money on science researching overpopulation and its consequences india will supposedly be testing the limits on upwards near 2 billion people this century on their tiny area of land this is absolutely ridiculous and irresponsible on such a small area of the worlds land,1,overpopulation
so now that india has used up their water 100s of millions of indians will want to migrate from their screwed up and irresponsible country to your country this decade,1,human activity
i dont live in the uk but i have heard many indians complain about the racism they experience in the uk,0,contamination
i think indians need to fix their problems at home instead of blaming other cultures for not allowing more indians to migrate into various foreign countries,0,deforestation
indians need to take more responsibility for the harm and pressures they are putting onto the worlds environment,0,loss of water bodies
dont allow indians to escape from the problems that theyve created in their own country and migrate to your country until they fix their home first,0,desalination
would like to know how we as a public living in societies and colonies can do to stop the wastage and proper storing of water,1,public water wastage
राहुल पांडेय् brother rahul pandey,0,strain on natural resources
before asking muslims ask interpol why they gave clean chit to dr zakir naik why interpol doesnt interfare,0,corruption
please try to give solutions to it,0,damming
government alone cannot do it public revolution is needed,0,religion
geoenginnering of man is the problem,0,desalination
to control the weather,0,urbanization
maybe if youre only drinking tap water,0,deforestation
i get my water from a water mill,0,corruption
tap water is disgusting,0,religion
hi guys pls concentrate on fourth industrial revolution,0,damming
waste is an urban phenomenon,1,public water wastage
waste is an urban phenomenon,1,urbanization
make sea water potable,1,desalination
we filled water bodies pondslakes canals n made housesshopsairport hospital all these wastes rain water,1,loss of water bodies
we filled water bodies pondslakes canals n made housesshopsairport hospital all these wastes rain water,1,urbanization
rampant and illegal construction encroachment of water bodies no land for water replenishment in the cities,1,human activity
rampant and illegal construction encroachment of water bodies no land for water replenishment in the cities,1,loss of water bodies
these are just few examples of this problem,0,pollution
it is a system failure and looks like irreparable,0,lack of awareness
ever building be it an apartment complex or independent house is built without any future planning not enough land is left for rain water to get in side the surface and replenish the water stream beneath,1,loss of water bodies
we are doomed to fail big time,0,strain on natural resources
whats the point of giving away toilets when sewage water treatment is not provided the complete infrastructure is lacking from the ground up,1,lack of infrastructure
could we use ocean water to recharge ground water,1,desalination
could we use ocean water to recharge ground water,1,loss of water bodies
very good analysis with facts,0,human activity
this is the disaster we created on ourselves by not conserving ground water and let the greedy builderspoliticians grab lakeswater bodies for residential construction,1,loss of water bodies
now we are facing the consequences,0,religion
we should be smart in doing agriculture and cultivate crops which consumes less water,1,agriculture
also should ban liquor industries which drains the water resources and stop any new multiplex residential buildings in chennai,1,industrial development
existing river beds lakes should be desilted and restore the ground water,1,loss of water bodies
tn people should wholeheartedly support the initiative taken by central government on linking rivers across india,0,human activity
